Table,NAME,FMTName,Type,Value,Label,Flat,
AHS2013N,ADDTN2,ADDTN,N,.B,Not applicable,YES,
AHS2013N,ADDTN2,ADDTN,N,.D,Don't know,YES,
AHS2013N,ADDTN2,ADDTN,N,.R,Refused,YES,
AHS2013N,ADDTNS,ADDTNS,N,.B,Not applicable,YES,
AHS2013N,ADDTNS,ADDTNS,N,.D,Don't know,YES,
AHS2013N,ADDTNS,ADDTNS,N,.R,Refused,YES,
AHS2013N,ADJDEP,ADJDEP,C,,Not reported,YES,
AHS2013N,ADJDEP,ADJDEP,C,1,Prime (interest) rate,YES,
AHS2013N,ADJDEP,ADJDEP,C,2,Treasury Bill / Bond rate (T-Bill rate),YES,
AHS2013N,ADJDEP,ADJDEP,C,3,LIBOR (London Interbank Offered Rate),YES,
AHS2013N,ADJDEP,ADJDEP,C,4,None (changes on specified schedule but does not depend on another rate),YES,
AHS2013N,ADJDEP,ADJDEP,C,5,Something else,YES,
AHS2013N,ADJDEP,ADJDEP,C,B,Not applicable,YES,
AHS2013N,ADJDEP,ADJDEP,C,D,Don't know,YES,
AHS2013N,ADJDEP,ADJDEP,C,R,Refused,YES,
AHS2013N,ADJDEP2,ADJDEP,C,,Not reported,YES,
AHS2013N,ADJDEP2,ADJDEP,C,1,Prime (interest) rate,YES,
AHS2013N,ADJDEP2,ADJDEP,C,2,Treasury Bill / Bond rate (T-Bill rate),YES,
AHS2013N,ADJDEP2,ADJDEP,C,3,LIBOR (London Interbank Offered Rate),YES,
AHS2013N,ADJDEP2,ADJDEP,C,4,None (changes on specified schedule but does not depend on another rate),YES,
AHS2013N,ADJDEP2,ADJDEP,C,5,Something else,YES,
AHS2013N,ADJDEP2,ADJDEP,C,B,Not applicable,YES,
AHS2013N,ADJDEP2,ADJDEP,C,D,Don't know,YES,
AHS2013N,ADJDEP2,ADJDEP,C,R,Refused,YES,
AHS2013N,ADJFIX,ADJFIX,C,,Not reported,YES,
AHS2013N,ADJFIX,ADJFIX,C,1,One month,YES,
AHS2013N,ADJFIX,ADJFIX,C,2,"More than one, up to six months",YES,
AHS2013N,ADJFIX,ADJFIX,C,3,"More than six months, but less than one year",YES,
AHS2013N,ADJFIX,ADJFIX,C,4,One year,YES,
AHS2013N,ADJFIX,ADJFIX,C,5,Two years,YES,
AHS2013N,ADJFIX,ADJFIX,C,6,Three years,YES,
AHS2013N,ADJFIX,ADJFIX,C,7,More than three years,YES,
AHS2013N,ADJFIX,ADJFIX,C,B,Not applicable,YES,
AHS2013N,ADJFIX,ADJFIX,C,D,Don't know,YES,
AHS2013N,ADJFIX,ADJFIX,C,R,Refused,YES,
AHS2013N,ADJFIX2,ADJFIX,C,,Not reported,YES,
AHS2013N,ADJFIX2,ADJFIX,C,1,One month,YES,
AHS2013N,ADJFIX2,ADJFIX,C,2,"More than one, up to six months",YES,
AHS2013N,ADJFIX2,ADJFIX,C,3,"More than six months, but less than one year",YES,
AHS2013N,ADJFIX2,ADJFIX,C,4,One year,YES,
AHS2013N,ADJFIX2,ADJFIX,C,5,Two years,YES,
AHS2013N,ADJFIX2,ADJFIX,C,6,Three years,YES,
AHS2013N,ADJFIX2,ADJFIX,C,7,More than three years,YES,
AHS2013N,ADJFIX2,ADJFIX,C,B,Not applicable,YES,
AHS2013N,ADJFIX2,ADJFIX,C,D,Don't know,YES,
