Table,NAME,FMTName,Type,Value,Label,Flat,Metro
AHS2015,ACPRIMARY,ACPRIMARY,C,1,Electric powered central air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,2,Piped gas powered central air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,3,Liquefied petroleum gas powered central air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,4,Other fuel source powered air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,5,1 room air conditioner,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,6,2 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,7,3 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,8,4 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,9,5 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,10,6 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,11,7 or more room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,12,No air conditioning,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,1,Secondary electric powered central air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,2,Secondary piped gas powered central air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,3,Secondary liquefied petroleum gas powered central air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,4,Secondary other fuel source powered air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,5,Secondary 1 room air conditioner,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,6,Secondary 2 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,7,Secondary 3 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,8,Secondary 4 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,9,Secondary 5 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,10,Secondary 6 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,11,Secondary 7 or more room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,12,No secondary air conditioning,YES,YES
AHS2015,ADEQUACY,ADEQUACY,C,1,Adequate,YES,YES
AHS2015,ADEQUACY,ADEQUACY,C,2,Moderately inadequate,YES,YES
