Topic,Subtopic,Description,2015 Variable Name,2011/2013 Variable Name
Admin,Interview Status,Control number,CONTROL,CONTROL
Admin,Interview Status,Interview status,INTSTATUS,STATUS
Admin,Interview Status,Interview month,INTMONTH,DATE
Admin,Interview Status,Interview language,INTLANG,LANG
Admin,Interview Status,Interview mode,INTMODE,PERSINT
Admin,Geography,Census division,DIVISION,DIVISION
Admin,Geography,2013 OMB CBSA code,OMB13CBSA,CMSA
Admin,Weighting,Final weight,WEIGHT,WEIGHT
Admin,Weighting,Flag indicating split sample group,SPLITSAMP,Not Available
Admin,Weighting,Final weight used for split sample: group 1 topical modules ,SP1WEIGHT,SPLTWGT1
Admin,Weighting,Final weight used for split sample: group 2 topical modules ,SP2WEIGHT,SPLTWGT2
Admin,Weighting,Replicate weight (XXX represents 1 - 160),REPWEIGHTXXX,REPWGTXXX
Admin,Weighting,Replicate weight for split sample: group 1 topical modules (XXX represents 1 - 160),SP1REPWGTXXX,SPLT1WGTXXX
Admin,Weighting,Replicate weight for split sample: group 2 topical modules (XXX represents 1 - 160),SP2REPWGTXXX,SPLT2WGTXXX
Admin,Edit Variables,Edit flag for XXXXX (where (XXXXX represents the name of the variable),JXXXXX,JXXXXX
Occupancy and Tenure,Tenure,Owner or renter status of unit,TENURE,TENURE
Occupancy and Tenure,Tenure,Flag indicating unit is a condominium ,CONDO,CONDO
Occupancy and Tenure,Tenure,Flag indicating unit is part of a homeowner's association,HOA,Not Available
Occupancy and Tenure,Tenure,Flag indicating owner owns the lot,OWNLOT,OWNLOT
Occupancy and Tenure,Tenure,Flag indicating there is an owner or property manager onsite,MGRONSITE,OWNHERE
Occupancy and Tenure,Vacancy Characteristics,Vacancy status,VACANCY,VACANCY
Occupancy and Tenure,Vacancy Characteristics,Flag indicating ownership of unit time shared,TIMESHARE,TIMSHR
Occupancy and Tenure,Vacancy Characteristics,Flag indicating mobile home to be moved,MHMOVE,MHSTAY
Occupancy and Tenure,Vacancy Characteristics,Number of months unit has been vacant,VACMONTHS,MOVAC
Occupancy and Tenure,Vacancy Characteristics,Number of months since this unit has been occupied as permanent home,MONLSTOCC,MOPERM
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this unit is suitable for year round use,SUITYRRND,YRRND
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this unit is within 150 miles of owners residence,PERMNEAR,S150MV
Occupancy and Tenure,Seasonal and URE Characteristics,Number of nights owner spends at this unit,VACRESDAYS,SNITEV
Occupancy and Tenure,Seasonal and URE Characteristics,Number of nights this unit was rented out,VACRNTDAYS,SRENTV
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this was a previous usual residence,VACPRIRES,SXUREV
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this is used for recreational purposes,VACREC,SRECV
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this unit is used for investment purposes,VACINVEST,SINVV
Occupancy and Tenure,Seasonal and URE Characteristics,"Flag indicating the owner wishes to sell this unit, but has not been able to do so ",VACSELL,SSELV
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this unit was inherited,VACINHER,SINHV
Occupancy and Tenure,Seasonal and URE Characteristics,Flag indicating this unit is owned for some other reason,VACOTH,SOTHV
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied year-round,OCCYRRND,MOSALL
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in January,OCCJANUR,MOSJAN
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in February,OCCFEBRU,MOSFEB
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in March,OCCMARCH,MOSMAR
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in April,OCCAPRIL,MOSAPR
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in May,OCCMAY,MOSMAY
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in June,OCCJUNE,MOSJUN
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in July,OCCJULY,MOSJUL
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in August,OCCAUGUST,MOSAUG
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in September,OCCSEPTEM,MOSSEP
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in October,OCCOCTOB,MOSOCT
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in November,OCCNOVEM,MOSNOV
Occupancy and Tenure,Months Occupied,Flag indicating unit is typically occupied in December,OCCDECEM,MOSDEC
Structural,General,Type of housing unit,BLD,TYPE
Structural,General,Year unit was built,YRBUILT,BUILT
Structural,General,Flag indicating unit has undergone a gut rehabilitation in the last 10 years,GUTREHB,Not Available
Structural,Exterior Features,Lot size (acres),LOTSIZE,LOT
Structural,Exterior Features,Flag indicating unit has a garage or carport ,GARAGE,GARAGE
Structural,Exterior Features,Flag indicating unit has porch or deck or balcony or patio,PORCH,PORCH
Structural,Exterior Features,Flag indicating unit's entrance is accessible without climbing up or down any stairs,NOSTEP,NOSTEP
Structural,Exterior Features,Flag indicating unit's windows covered with metal bars,WINBARS,EBAR
Structural,Exterior Features,Flag indicating entry system required to access multifamily building,ENTRYSYS,ACCESSB
Structural,Exterior Features,Type of manufactured or mobile home ,MHWIDE,MOBILTYP
Structural,Exterior Features,Type of mobile home anchoring,MHANCHOR,ANCHOR
Structural,Interior Features,Type of foundation,FOUNDTYPE,CELLAR
Structural,Interior Features,Unit size (square feet),UNITSIZE,UNITSF
Structural,Interior Features,Number of stories in building ,STORIES,FLOORS
Structural,Interior Features,Number of floors within the unit,UNITFLOORS,FLOORS
Structural,Interior Features,Number of rooms in unit,TOTROOMS,ROOMS
Structural,Interior Features,Number of bedrooms in unit,BEDROOMS,BEDROOMS
Structural,Interior Features,Number of bathrooms in unit,BATHROOMS,BATH
Structural,Interior Features,Number of kitchens in unit,KITCHENS,KITCH
Structural,Interior Features,Number of dining rooms in unit,DINING,DINING
Structural,Interior Features,Number of laundry or utility rooms in unit,LAUNDY,LAUNDY
Structural,Interior Features,Number of other finished rooms in unit,FINROOMS,OTHFN
Structural,Interior Features,Number of other unfinished rooms in unit,UFINROOMS,OTHRUN
Structural,Interior Features,Flag indicating the unit's kitchen facilities are for the exclusive use of the household,KITEXCLU,KEXCLU
Structural,Interior Features,Flag indicating the unit's bathroom facilities are for the exclusive use of the household ,BATHEXCLU,PLUMB
Equipment & Appliances,Heating,Type of main heating equipment,HEATTYPE,HEQUIP
Equipment & Appliances,Heating,Type of main heating fuel,HEATFUEL,HFUEL
Equipment & Appliances,Heating,Flag indicating unit has a useable fireplace,FIREPLACE,FPLWK
Equipment & Appliances,Cooling,Type of primary air conditioning,ACPRIMARY,AIR;AIRSYS
Equipment & Appliances,Cooling,Type of secondary air conditioning,ACSECNDRY,AIR;AIRSYS
Equipment & Appliances,Water and Sewer,Type of sewer system,SEWTYPE,SEWDIS
Equipment & Appliances,Water and Sewer,Number of units connected to septic tank or cesspool,SEWUSERS,SEWDUS
Equipment & Appliances,Water and Sewer,Source of water for unit,WATSOURCE,WATER
Equipment & Appliances,Water and Sewer,Type of hot water system,HOTWATER,HOTPIP
Equipment & Appliances,Appliances,Type of cooking equipment,COOKTYPE,COOK;OVEN
Equipment & Appliances,Appliances,Type of fuel used most for cooking,COOKFUEL,CFUEL
Equipment & Appliances,Appliances,Flag indicating unit has a working refrigerator,FRIDGE,REFR
Equipment & Appliances,Appliances,Flag indicating unit has a working dishwasher,DISHWASH,DISH
Equipment & Appliances,Appliances,Flag indicating unit has a kitchen sink,KITCHSINK,SINK
Equipment & Appliances,Appliances,Flag indicating unit has a working washing machine,WASHER,WASH
