Year,Median Home Price
1978,55700
1979,62900
1980,64600
1981,68900
1982,69300
1983,75300
1984,79900
1985,84300
1986,92000
1987,104500
1988,112500
1989,120000
1990,122900
1991,120000
1992,121500
1993,126500
1994,130000
1995,133900
1996,140000
1997,146000
1998,152500
1999,161000
2000,169000
2001,175200
2002,187600
2003,195000
2004,221000
2005,240900
2006,246500
2007,247900
2008,232100
2009,216700
2010,221800
2011,227200
2012,245200
2013,268900
2014,288500
2015,294200
2016,307800
2017,323100
2018,326400
2019,321500
2020,336900
2021,397100
2022,457800
